,Museo Regional de Guadalajara,MUSA Museo de las Artes Universidad de Guadalajara,Museo de la Ciudad de Guadalajara,Museo Palacio Ocampo,Museo de Paleontología de Guadalajara,Museo de Arte de Zapopan,Casa Museo López Portillo,Museo de las Artes Populares de Jalisco,Museo del Ejército y Fuerza Aérea,Museo De Sitio Del Palacio De Gobierno,Zoológico Guadalajara,El Tejaban,Acuario del Zoológico Guadalajara,"Antártida, el reino de los pingüinos",Zoológico,Parque Villa Fantasía,Villa Australiana,"Herpetario, la tierra de los reptiles y anfibios.",Natura Pet,Zoológico de Esculturas - Juegos,Parque Revolución,Parque Morelos,Parque Alcalde,Parque Agua Azul,Parque Expiatorio,Parque de La Liberación,Parque San Jacinto,Parque Jardines del Nilo,Parque la Calma,Parque González Gallo,Andares Centro Comercial,Fórum Tlaquepaque,Centro Comercial Plaza Patria,Plaza Real Center,La Gran Plaza Fashion Mall,Punto Sur,Centro Magno,Centro Sur,Centro Comercial Plaza Lomas,Plaza Galerías Guadalajara,Hotel Riu Plaza Guadalajara,Hyatt Regency Andares Guadalajara,Fiesta Americana Guadalajara
Museo Regional de Guadalajara,0.0,83.4135858314721,36.81904883435610,20.57158992872620,28.991953325631200,296.0050328578200,3.306396058976990,4.48926433405773,93.9742428814018,2.164634911609720,275.52900569854600,132.93955107158300,251.13601903959,256.4128308974590,67.17503141666030,254.929888120694,282.5275706402230,282.5689210948660,119.44061669792800,35.378637882706300,62.40755525208470,43.598224532294300,33.28471252960540,29.884410146116900,82.69941140626120,63.50898606727770,326.6437822816590,398.47428627435600,468.6625813881700,79.21864651503980,439.3944311096280,172.40900051721700,218.45243496366900,560.5109975003040,389.9819391640920,717.255545898517,227.0914794018690,385.16429514045200,456.51326635480300,569.0468525661090,313.23528639820800,442.1194260436720,282.481653379622
MUSA Museo de las Artes Universidad de Guadalajara,83.4135858314721,0.0,46.81384331013150,63.01201499054420,90.99043478263750,217.17692358470200,81.76769662299730,86.84511477291430,176.5658749689970,83.73804152069410,357.2332949876720,213.96783679277100,332.8179767284340,338.1166271280280,21.096280896973800,178.21562671305900,364.18480061319300,364.3574501706320,98.73979942876000,118.74307230067600,21.007970418335200,127.00479008529600,61.323942884624500,75.82323346154610,2.324253527367610,105.66489087452500,409.5281138023260,480.9174644552920,385.53466748758200,154.15699906892500,357.5400081395260,252.8971827495090,141.2186408919970,479.213490020091,306.6655080696470,635.3703754190270,143.75077628115200,304.91591912442000,538.7634932452350,485.78815399633100,229.82174261959100,360.402532797638,199.14940427741900
Museo de la Ciudad de Guadalajara,36.81904883435610,46.81384331013150,0.0,17.094672098374600,50.80441541865060,260.0376260915190,35.001467663256400,40.07759858281600,130.62962664789000,37.34983130665050,310.7660529838560,167.61132490587200,286.3495309267450,291.64321887598900,30.74805810133770,219.46356425302200,317.73480678677400,317.86559994655700,105.64354455830900,72.00913912608960,25.915586875094800,80.30968390112840,21.05358281936890,38.56082552608020,46.26772261423950,76.46628091175680,363.4299752940100,435.16828036862800,432.3332157421840,112.03456727954800,402.748075866396,208.3464832403660,182.75209338259800,524.0078733217930,353.19363669300700,681.7597259632810,190.3239612319060,350.49301633319300,493.16175841793000,532.2404857386240,276.5524390634700,405.5027847664010,245.70473029840900
Museo Palacio Ocampo,20.57158992872620,63.01201499054420,17.094672098374600,0.0,35.34474309414700,277.13221214957800,19.437961152683200,24.39549775339400,113.76588030831800,20.740866271337500,295.963868255336,153.17760629985500,271.56230079073900,276.8437611832160,47.84114568180890,236.52953405597700,302.956427191176,303.01787929711700,106.90713637604100,55.934729088134600,42.013620002912500,64.1137462240741,23.924739281904100,26.0164503448992,62.226826295407300,64.86832173704600,346.669482677003,418.2856185405310,448.10544684656000,95.18506477703110,419.69961825964800,191.26275571830200,199.83591426743500,541.0234057080650,369.66902698010500,696.7337453224050,206.75708216759200,364.78562642943000,476.2422792669730,548.775793267158,292.80306044017300,422.47175605197900,262.1551403156900
Museo de Paleontología de Guadalajara,28.991953325631200,90.99043478263750,50.80441541865060,35.34474309414700,0.0,308.0170392190280,32.016028178342500,31.805206310256300,90.00144312047660,26.829011292376000,280.8112411409980,141.73546634873300,256.6741654050920,261.85967244504600,80.17784896950710,268.38990575370700,287.84434644266500,287.6333794227730,99.34330115248930,44.91041995750850,71.27959738768940,50.45537481778550,57.533513398333800,15.579446767379600,89.60627159768440,34.700989540922600,321.3958848974400,391.81150451346800,470.2675287874220,63.1718762624718,448.1102342615060,162.67930351597700,231.46254877556000,569.970359168424,395.13978109057200,715.5017174022000,232.71280268958900,382.03942758402100,449.3268254553630,574.2630977956720,317.4559797497280,451.04042363959700,287.86809282687400
Museo de Arte de Zapopan,296.0050328578200,217.17692358470200,260.0376260915190,277.13221214957800,308.0170392190280,0.0,293.5921803974130,298.4494485897620,389.68718918362800,296.8964371205610,552.7318106401450,413.2029190334980,528.9554695348560,534.1741295457060,229.29284443158700,43.31166565697290,559.3016779003910,559.9964052077510,280.99809749399000,329.50152029839500,236.81925306067800,337.83786339618600,265.6662764055740,292.98172573003500,218.71075003992500,320.56005882246600,620.7310163593360,693.344706314699,217.83692681283200,371.0777126208720,148.6769269207120,468.3284917533850,77.78903227829340,266.26543667531800,124.44044433900100,471.49176951584100,94.52710752541550,197.64985841026200,751.5902882866960,288.4543380203080,87.47969590767080,150.6378366583750,72.34099308119580
Casa Museo López Portillo,3.306396058976990,81.76769662299730,35.001467663256400,19.437961152683200,32.016028178342500,293.5921803974130,0.0,5.077775413879540,96.213798607059,5.366414804181670,276.54621994010900,133.74134781909800,252.14205014693200,257.4250287133200,65.04627761672230,252.40784016540600,283.5365005229740,283.6058769368380,120.8230643910080,37.00893916691000,60.790250551799700,45.32145225541990,30.19864522761770,31.86147339213890,81.13165813786400,66.39565446048240,328.69324343170200,400.6278117356870,467.1944376032740,82.2938929192542,437.23943579511200,174.93103524829500,215.9891193581170,558.2703904778180,388.176687489646,716.1036333285840,225.32000539923100,384.2216151254770,458.7004583364330,567.2012069975090,311.5505838575400,439.94509706153500,280.6961127376640
Museo de las Artes Populares de Jalisco,4.48926433405773,86.84511477291430,40.07759858281600,24.39549775339400,31.805206310256300,298.4494485897620,5.077775413879540,0.0,91.29085796623860,5.95769216109729,271.5688905694220,128.83932661749100,247.16796555282800,252.4490269324920,70.06053590045990,257.1878312733200,278.5619506073080,278.622384191314,123.80655996123400,31.935663098629800,65.86615177627110,40.25532656095920,34.327538989971700,34.03640096533880,86.20567323486730,66.49459982210010,323.67863388157600,395.6491309627940,472.2635022814920,78.43172045677120,442.22571076980100,170.1843149299640,220.81546005339300,563.2195423408950,393.2459825454190,721.1152784273850,230.39310176215900,389.1664490698100,453.73515408691800,572.265216636263,316.62785184170500,444.9237999496170,285.76773088008800
Museo del Ejército y Fuerza Aérea,93.9742428814018,176.5658749689970,130.62962664789000,113.76588030831800,90.00144312047660,389.68718918362800,96.213798607059,91.29085796623860,0.0,93.29406651695160,193.7863535845780,67.5102311949753,170.19012342397500,175.211283959502,161.14606546160200,348.2266076453050,200.78519429063900,200.3412039910220,179.62480215920500,60.41448007714280,155.65541851134500,52.21658101706610,124.32538431288200,105.22105337288800,175.6142445807300,101.90066616691900,232.962650877943,304.53876192353100,559.8351079291970,41.68566752352710,533.3554145363790,80.1624907674838,311.997293869032,654.4756107453310,483.10338331394000,805.4882575899970,320.2188513759410,471.95225525002800,362.54640063888900,662.2688799277840,405.8777813432230,536.0891415292070,375.6000133111620
Museo De Sitio Del Palacio De Gobierno,2.164634911609720,83.73804152069410,37.34983130665050,20.740866271337500,26.829011292376000,296.8964371205610,5.366414804181670,5.95769216109729,93.29406651695160,0.0,275.73988286376,133.31813803868000,251.35656904496300,256.62868935604300,67.88256405082350,255.91964891181700,282.7436133271920,282.76572616297300,117.8679319243370,35.28311673396150,62.73276218800370,43.4020702007629,34.90039290025280,28.08980771094780,82.96710713111610,61.36079663747330,326.085841309706,397.8285933665280,468.80291638496900,77.70156224555470,440.0638861749450,171.45756199132200,219.392794667856,561.2489240903780,390.3762161388540,717.1664681100130,227.4696114364210,384.93817192730500,455.8381593624950,569.4680145504280,313.54146019524500,442.8046681495140,282.8659642367070
