,Museo Regional de Guadalajara,MUSA Museo de las Artes Universidad de Guadalajara,Museo de la Ciudad de Guadalajara,Museo Palacio Ocampo,Museo de Paleontología de Guadalajara,Museo de Arte de Zapopan,Casa Museo López Portillo,Museo de las Artes Populares de Jalisco,Museo del Ejército y Fuerza Aérea,Museo De Sitio Del Palacio De Gobierno,Zoológico Guadalajara,El Tejaban,Acuario del Zoológico Guadalajara,"Antártida, el reino de los pingüinos",Zoológico,Parque Villa Fantasía,Villa Australiana,"Herpetario, la tierra de los reptiles y anfibios.",Natura Pet,Zoológico de Esculturas - Juegos,Parque Revolución,Parque Morelos,Parque Alcalde,Parque Agua Azul,Parque Expiatorio,Parque de La Liberación,Parque San Jacinto,Parque Jardines del Nilo,Parque la Calma,Parque González Gallo,Andares Centro Comercial,Fórum Tlaquepaque,Centro Comercial Plaza Patria,Plaza Real Center,La Gran Plaza Fashion Mall,Punto Sur,Centro Magno,Centro Sur,Centro Comercial Plaza Lomas,Plaza Galerías Guadalajara,Hotel Riu Plaza Guadalajara,Hyatt Regency Andares Guadalajara,Fiesta Americana Guadalajara
Museo Regional de Guadalajara,0,1.390226430524540,0.6136508139059340,0.3428598321454360,0.4831992220938530,4.933417214296990,0.055106600982950000,0.07482107223429550,1.5662373813567000,0.036077248526828800,4.592150094975770,2.2156591845263800,4.1856003173265,4.273547181624320,1.119583856944340,4.248831468678230,4.708792844003710,4.709482018247770,1.990676944965460,0.5896439647117710,1.040125920868080,0.7266370755382390,0.5547452088267560,0.49807350243528200,1.3783235234376900,1.0584831011212900,5.4440630380276500,6.6412381045726000,7.811043023136170,1.3203107752506600,7.3232405184938000,2.8734833419536200,3.6408739160611400,9.341849958338410,6.4996989860682000,11.954259098308600,3.784857990031150,6.419404919007540,7.608554439246720,9.484114209435140,5.220588106636800,7.36865710072787,4.708027556327030
MUSA Museo de las Artes Universidad de Guadalajara,1.390226430524540,0,0.7802307218355240,1.0502002498424000,1.516507246377290,3.6196153930783600,1.3627949437166200,1.4474185795485700,2.9427645828166200,1.3956340253449000,5.953888249794530,3.566130613212840,5.546966278807230,5.635277118800460,0.3516046816162290,2.9702604452176500,6.069746676886560,6.072624169510530,1.645663323812670,1.9790512050112700,0.3501328403055870,2.116746501421590,1.022065714743740,1.2637205576924400,0.03873755878946010,1.7610815145754200,6.825468563372090,8.015291074254870,6.425577791459700,2.569283317815420,5.959000135658760,4.214953045825140,2.353644014866610,7.98689150033485,5.111091801160780,10.589506256983800,2.3958462713525300,5.081931985407000,8.979391554087240,8.096469233272180,3.8303623769931800,6.006708879960630,3.319156737956980
Museo de la Ciudad de Guadalajara,0.6136508139059340,0.7802307218355240,0,0.28491120163957700,0.8467402569775090,4.333960434858640,0.5833577943876070,0.6679599763802660,2.1771604441314900,0.6224971884441750,5.179434216397610,2.79352208176454,4.772492182112410,4.860720314599810,0.5124676350222950,3.657726070883690,5.295580113112890,5.297759999109280,1.7607257426384900,1.2001523187681600,0.43192644791824600,1.3384947316854700,0.35089304698948100,0.6426804254346700,0.7711287102373240,1.2744380151959500,6.057166254900170,7.252804672810460,7.20555359570306,1.867242787992470,6.7124679311066,3.47244138733944,3.0458682230433000,8.733464555363220,5.886560611550120,11.362662099388000,3.172066020531770,5.841550272219880,8.219362640298830,8.870674762310390,4.609207317724500,6.75837974610669,4.095078838306820
Museo Palacio Ocampo,0.3428598321454360,1.0502002498424000,0.28491120163957700,0,0.5890790515691170,4.6188702024929600,0.3239660192113860,0.4065916292232330,1.8960980051386300,0.3456811045222910,4.932731137588930,2.5529601049975800,4.5260383465123200,4.61406268638693,0.797352428030148,3.9421589009329500,5.0492737865196,5.050297988285290,1.781785606267360,0.9322454848022430,0.7002270000485420,1.0685624370679000,0.3987456546984020,0.43360750574832,1.037113771590120,1.0811386956174300,5.777824711283380,6.971426975675520,7.4684241141093400,1.586417746283850,6.994993637660800,3.1877125953050400,3.330598571123920,9.017056761801090,6.161150449668420,11.612229088706700,3.445951369459870,6.079760440490500,7.9373713211162100,9.1462632211193,4.880051007336220,7.041195934199640,4.36925233859483
Museo de Paleontología de Guadalajara,0.4831992220938530,1.516507246377290,0.8467402569775090,0.5890790515691170,0,5.13361732031714,0.5336004696390420,0.5300867718376050,1.5000240520079400,0.4471501882062670,4.680187352349960,2.3622577724788900,4.277902756751530,4.364327874084090,1.3362974828251200,4.4731650958951100,4.79740577404441,4.793889657046210,1.6557216858748200,0.7485069992918090,1.1879932897948200,0.8409229136297590,0.9588918899722300,0.25965744612299400,1.4934378599614100,0.5783498256820430,5.3565980816240000,6.530191741891140,7.837792146457030,1.05286460437453,7.4685039043584300,2.71132172526628,3.8577091462593300,9.4995059861404,6.585663018176200,11.925028623370000,3.87854671149315,6.367323793067020,7.488780424256050,9.571051629927870,5.290932995828790,7.517340393993280,4.797801547114560
Museo de Arte de Zapopan,4.933417214296990,3.6196153930783600,4.333960434858640,4.6188702024929600,5.13361732031714,0,4.893203006623550,4.974157476496030,6.4947864863938100,4.948273952009340,9.21219684400241,6.88671531722496,8.815924492247600,8.902902159095110,3.8215474071931100,0.7218610942828810,9.321694631673180,9.333273420129190,4.683301624899830,5.491692004973250,3.946987551011300,5.630631056603100,4.427771273426230,4.883028762167240,3.645179167332090,5.342667647041100,10.345516939322300,11.555745105245000,3.6306154468805300,6.184628543681200,2.4779487820118700,7.805474862556420,1.2964838713048900,4.437757277921960,2.074007405650020,7.858196158597350,1.5754517920902600,3.294164306837700,12.526504804778300,4.807572300338470,1.4579949317945100,2.51063061097291,1.2056832180199300
Casa Museo López Portillo,0.055106600982950000,1.3627949437166200,0.5833577943876070,0.3239660192113860,0.5336004696390420,4.893203006623550,0,0.08462959023132560,1.6035633101176500,0.08944024673636130,4.609103665668490,2.2290224636516300,4.202367502448870,4.290417145222000,1.084104626945370,4.2067973360901000,4.725608342049560,4.726764615613960,2.01371773985014,0.616815652781833,1.0131708425300000,0.7553575375903310,0.5033107537936290,0.5310245565356480,1.3521943022977300,1.1065942410080400,5.478220723861710,6.677130195594780,7.786573960054570,1.3715648819875700,7.287323929918540,2.9155172541382400,3.5998186559686100,9.304506507963620,6.469611458160770,11.935060555476400,3.7553334233205100,6.403693585424620,7.645007638940560,9.453353449958490,5.1925097309589900,7.332418284358910,4.678268545627730
Museo de las Artes Populares de Jalisco,0.07482107223429550,1.4474185795485700,0.6679599763802660,0.4065916292232330,0.5300867718376050,4.974157476496030,0.08462959023132560,0,1.5215142994373100,0.09929486935162160,4.526148176157040,2.147322110291520,4.119466092547140,4.207483782208200,1.1676755983410000,4.286463854555330,4.642699176788460,4.643706403188570,2.0634426660205600,0.5322610516438300,1.0977691962711900,0.6709221093493200,0.572125649832862,0.5672733494223140,1.4367612205811200,1.1082433303683300,5.394643898026270,6.594152182713240,7.871058371358200,1.307195340946190,7.370428512830020,2.8364052488327300,3.6802576675565600,9.386992372348240,6.554099709090320,12.018587973789700,3.839885029369320,6.486107484496830,7.562252568115300,9.537753610604380,5.277130864028420,7.415396665826940,4.7627955146681300
Museo del Ejército y Fuerza Aérea,1.5662373813567000,2.9427645828166200,2.1771604441314900,1.8960980051386300,1.5000240520079400,6.4947864863938100,1.6035633101176500,1.5215142994373100,0,1.554901108615860,3.229772559742960,1.1251705199162600,2.8365020570662400,2.9201880659917000,2.685767757693370,5.803776794088410,3.3464199048439800,3.339020066517040,2.993746702653410,1.0069080012857100,2.5942569751890800,0.8702763502844360,2.0720897385480400,1.7536842228814700,2.926904076345500,1.6983444361153200,3.8827108479657200,5.075646032058840,9.33058513215329,0.6947611253921180,8.889256908939650,1.3360415127914000,5.1999548978172,10.907926845755500,8.051723055232330,13.42480429316660,5.336980856265680,7.8658709208338100,6.042440010648160,11.037814665463100,6.764629689053710,8.934819025486780,6.260000221852690
Museo De Sitio Del Palacio De Gobierno,0.036077248526828800,1.3956340253449000,0.6224971884441750,0.3456811045222910,0.4471501882062670,4.948273952009340,0.08944024673636130,0.09929486935162160,1.554901108615860,0,4.595664714396000,2.221968967311330,4.189276150749390,4.2771448226007100,1.1313760675137200,4.265327481863620,4.712393555453190,4.712762102716210,1.9644655320722800,0.5880519455660250,1.0455460364667300,0.7233678366793820,0.581673215004213,0.46816346184913000,1.3827851188519400,1.0226799439578900,5.434764021828430,6.630476556108800,7.813381939749480,1.295026037425910,7.334398102915760,2.8576260331887000,3.6565465777976000,9.35414873483964,6.506270268980900,11.952774468500200,3.791160190607020,6.415636198788420,7.59730265604159,9.491133575840470,5.2256910032540800,7.380077802491900,4.714432737278450
Zoológico Guadalajara,4.592150094975770,5.953888249794530,5.179434216397610,4.932731137588930,4.680187352349960,9.21219684400241,4.609103665668490,4.526148176157040,3.229772559742960,4.595664714396000,0,2.3882186056330700,0.4069495406144570,0.318728820490757,5.636107729220970,8.491343554095880,0.11721867474581000,0.12108804033256900,6.2229525453777500,4.012064005809470,5.610411311047720,3.8842810783823500,4.950028516179320,4.915684169112110,5.948304758688470,4.927603630715150,1.9718366673777900,2.998959007878310,12.367918254033200,3.8865561996539000,11.68398926198440,2.628056893821620,7.940317416695800,13.637969652459900,10.990931493487600,16.542095840942600,8.304506163963480,11.011300723590600,3.869962281896290,13.948592968534700,9.746970053078330,11.720009038810100,9.21658049771521
El Tejaban,2.2156591845263800,3.566130613212840,2.79352208176454,2.5529601049975800,2.3622577724788900,6.88671531722496,2.2290224636516300,2.147322110291520,1.1251705199162600,2.221968967311330,2.3882186056330700,0,1.981440520774010,2.0698086576629200,3.24812949162366,6.170556701674210,2.503841454578600,2.5073562372207400,3.985629213829070,1.6493605294481500,3.2237036708637900,1.531511394878760,2.5627486426070600,2.578069596619620,3.5610209013032700,2.7141077093719000,3.5546803529333800,4.777109532449730,9.981002239636120,1.8080332774573500,9.344801197678420,1.692954004257320,5.600353345338170,11.323867150905100,8.615608573535540,14.155298672354800,5.920593292768860,8.632065756120130,5.7451284680006400,11.58295391586350,7.36349674628679,9.38371832201288,6.835614937814120
Acuario del Zoológico Guadalajara,4.1856003173265,5.546966278807230,4.772492182112410,4.5260383465123200,4.277902756751530,8.815924492247600,4.202367502448870,4.119466092547140,2.8365020570662400,4.189276150749390,0.4069495406144570,1.981440520774010,0,0.08839047120294190,5.229461822362060,8.095526198082790,0.5232418087807560,0.5259708233357770,5.830207158489510,3.606129044727590,5.203461829927270,3.478827978822060,4.543560584291270,4.512033584385770,5.541360237967780,4.534837141287370,2.12887580316555,3.23881948910749,11.96163095408800,3.50082831785945,11.286095241864800,2.3187982668416800,7.541501191210760,13.24442693066620,10.586942527632600,16.135152554348100,7.898829054565240,10.604886781877600,4.144853937006790,13.546461042747400,9.341420758692910,11.322587275293100,8.81149255959771
