,MuseoRegionaldeGuadalajara,MUSAMuseodelasArtesUniversidaddeGuadalajara,MuseodelaCiudaddeGuadalajara,MuseoPalacioOcampo,MuseodePaleontologiadeGuadalajara,MuseodeArtedeZapopan,CasaMuseoLopezPortillo,MuseodelasArtesPopularesdeJalisco,MuseodelEjercitoyFuerzaAerea,MuseoDeSitioDelPalacioDeGobierno,ZoologicoGuadalajara,ElTejaban,AcuariodelZoologicoGuadalajara,Antartidaelreinodelospinguinos,Zoologico,ParqueVillaFantasia,VillaAustraliana,Herpetariolatierradelosreptilesyanfibios,NaturaPet,ZoologicodeEsculturasJuegos,ParqueRevolucion,ParqueMorelos,ParqueAlcalde,ParqueAguaAzul,ParqueExpiatorio,ParquedeLaLiberacion,ParqueSanJacinto,ParqueJardinesdelNilo,ParquelaCalma,ParqueGonzalezGallo,AndaresCentroComercial,ForumTlaquepaque,CentroComercialPlazaPatria,PlazaRealCenter,LaGranPlazaFashionMall,PuntoSur,CentroMagno,CentroSur,CentroComercialPlazaLomas,PlazaGaleriasGuadalajara,HotelRiuPlazaGuadalajara,HyattRegencyAndaresGuadalajara,FiestaAmericanaGuadalajara
MuseoRegionaldeGuadalajara,0,11.39022643,25.45502713,16.42866107,21.10664074,14.93341721,6.836886699,7.494035741,11.56623738,6.202574951,14.59215009,12.21565918,14.18560032,14.27354718,11.11958386,14.24883147,14.70879284,14.70948202,11.99067694,24.65479882,11.04012592,29.22123585,23.49150696,21.60245008,11.37832352,11.0584831,15.44406304,16.6412381,17.81104302,11.32031078,17.32324052,12.87348334,13.64087392,19.34184996,16.49969899,21.9542591,13.78485799,16.41940492,17.60855444,19.48411421,15.22058811,17.3686571,14.70802756
MUSAMuseodelasArtesUniversidaddeGuadalajara,11.39022643,0,31.00769073,11.05020025,11.51650725,13.61961539,11.36279494,11.44741858,12.94276458,11.39563403,15.95388825,13.56613061,15.54696628,15.63527712,16.72015605,12.97026045,16.06974668,16.07262417,11.64566332,11.97905121,16.67109468,12.1167465,11.02206571,11.26372056,6.29125196,11.76108151,16.82546856,18.01529107,16.42557779,12.56928332,15.95900014,14.21495305,12.35364401,17.9868915,15.1110918,20.58950626,12.39584627,15.08193199,18.97939155,18.09646923,13.83036238,16.00670888,13.31915674
MuseodelaCiudaddeGuadalajara,25.45502713,31.00769073,0,14.49704005,33.22467523,14.33396043,24.44525981,27.26533255,12.17716044,25.74990628,15.17943422,12.79352208,14.77249218,14.86072031,22.0822545,13.65772607,15.29558011,15.29776,11.76072574,11.20015232,19.39754826,11.33849473,16.6964349,26.42268085,30.70429034,11.27443802,16.05716625,17.25280467,17.2055536,11.86724279,16.71246793,13.47244139,13.04586822,18.73346456,15.88656061,21.3626621,13.17206602,15.84155027,18.21936264,18.87067476,14.60920732,16.75837975,14.09507884
MuseoPalacioOcampo,16.42866107,11.05020025,14.49704005,0,24.63596839,14.6188702,15.79886731,18.55305431,11.89609801,16.52270348,14.93273114,12.5529601,14.52603835,14.61406269,31.57841427,13.9421589,15.04927379,15.05029799,11.78178561,36.07484949,28.3409,11.06856244,18.29152182,19.45358352,11.03711377,11.0811387,15.77782471,16.97142698,17.46842411,11.58641775,16.99499364,13.1877126,13.33059857,19.01705676,16.16115045,21.61222909,13.44595137,16.07976044,17.93737132,19.14626322,14.88005101,17.04119593,14.36925234
MuseodePaleontologiadeGuadalajara,21.10664074,11.51650725,33.22467523,24.63596839,0,15.13361732,22.78668232,22.66955906,11.50002405,19.90500627,14.68018735,12.36225777,14.27790276,14.36432787,11.33629748,14.4731651,14.79740577,14.79388966,11.65572169,29.95023331,11.18799329,33.03076379,36.963063,13.6552482,11.49343786,24.27832752,15.35659808,16.53019174,17.83779215,11.0528646,17.4685039,12.71132173,13.85770915,19.49950599,16.58566302,21.92502862,13.87854671,16.36732379,17.48878042,19.57105163,15.290933,17.51734039,14.79780155
MuseodeArtedeZapopan,14.93341721,13.61961539,14.33396043,14.6188702,15.13361732,0,14.89320301,14.97415748,16.49478649,14.94827395,19.21219684,16.88671532,18.81592449,18.90290216,13.82154741,29.06203648,19.32169463,19.33327342,14.68330162,15.491692,13.94698755,15.63063106,14.42777127,14.88302876,13.64517917,15.34266765,20.34551694,21.55574511,13.63061545,16.18462854,12.47794878,17.80547486,11.29648387,14.43775728,12.07400741,17.85819616,11.57545179,13.29416431,22.5265048,14.8075723,11.45799493,12.51063061,11.20568322
CasaMuseoLopezPortillo,6.836886699,11.36279494,24.44525981,15.79886731,22.78668232,14.89320301,0,7.820986341,11.60356331,7.981341558,14.60910367,12.22902246,14.2023675,14.29041715,11.08410463,14.20679734,14.72560834,14.72676462,12.01371774,25.56052176,11.01317084,30.17858459,21.77702513,22.70081855,11.3521943,11.10659424,15.47822072,16.6771302,17.78657396,11.37156488,17.28732393,12.91551725,13.59981866,19.30450651,16.46961146,21.93506056,13.75533342,16.40369359,17.64500764,19.45335345,15.19250973,17.33241828,14.67826855
MuseodelasArtesPopularesdeJalisco,7.494035741,11.44741858,27.26533255,18.55305431,22.66955906,14.97415748,7.820986341,0,11.5215143,8.309828978,14.52614818,12.14732211,14.11946609,14.20748378,11.1676756,14.28646385,14.64269918,14.6437064,12.06344267,22.74203505,11.0977692,27.36407031,24.07085499,23.90911165,11.43676122,11.10824333,15.3946439,16.59415218,17.87105837,11.30719534,17.37042851,12.83640525,13.68025767,19.38699237,16.55409971,22.01858797,13.83988503,16.48610748,17.56225257,19.53775361,15.27713086,17.41539667,14.76279551
MuseodelEjercitoyFuerzaAerea,11.56623738,12.94276458,12.17716044,11.89609801,11.50002405,16.49478649,11.60356331,11.5215143,0,11.55490111,13.22977256,11.12517052,12.83650206,12.92018807,12.68576776,15.80377679,13.3464199,13.33902007,12.9937467,11.006908,12.59425698,34.00921168,12.07208974,11.75368422,12.92690408,11.69834444,13.88271085,15.07564603,19.33058513,28.15870418,18.88925691,11.33604151,15.1999549,20.90792685,18.05172306,23.42480429,15.33698086,17.86587092,16.04244001,21.03781467,16.76462969,18.93481903,16.26000022
MuseoDeSitioDelPalacioDeGobierno,6.202574951,11.39563403,25.74990628,16.52270348,19.90500627,14.94827395,7.981341558,8.309828978,11.55490111,0,14.59566471,12.22196897,14.18927615,14.27714482,11.13137607,14.26532748,14.71239356,14.7127621,11.96446553,24.60173152,11.04554604,29.11226122,24.38910717,20.60544873,11.38278512,11.02267994,15.43476402,16.63047656,17.81338194,11.29502604,17.3343981,12.85762603,13.65654658,19.35414873,16.50627027,21.95277447,13.79116019,16.4156362,17.59730266,19.49113358,15.225691,17.3800778,14.71443274
