,MuseoRegionaldeGuadalajara,MUSAMuseodelasArtesUniversidaddeGuadalajara,MuseodelaCiudaddeGuadalajara,MuseoPalacioOcampo,MuseodePaleontologiadeGuadalajara,MuseodeArtedeZapopan,CasaMuseoLopezPortillo,MuseodelasArtesPopularesdeJalisco,MuseodelEjercitoyFuerzaAerea,MuseoDeSitioDelPalacioDeGobierno,ZoologicoGuadalajara,ElTejaban,AcuariodelZoologicoGuadalajara,Antartidaelreinodelospinguinos,Zoologico,ParqueVillaFantasia,VillaAustraliana,Herpetariolatierradelosreptilesyanfibios,NaturaPet,ZoologicodeEsculturasJuegos,ParqueRevolucion,ParqueMorelos,ParqueAlcalde,ParqueAguaAzul,ParqueExpiatorio,ParquedeLaLiberacion,ParqueSanJacinto,ParqueJardinesdelNilo,ParquelaCalma,ParqueGonzalezGallo,AndaresCentroComercial,ForumTlaquepaque,CentroComercialPlazaPatria,PlazaRealCenter,LaGranPlazaFashionMall,PuntoSur,CentroMagno,CentroSur,CentroComercialPlazaLomas,PlazaGaleriasGuadalajara,HotelRiuPlazaGuadalajara,HyattRegencyAndaresGuadalajara,FiestaAmericanaGuadalajara
MuseoRegionaldeGuadalajara,0,1.390226431,0.613650814,0.342859832,0.483199222,4.933417214,0.055106601,0.074821072,1.566237381,0.036077249,4.592150095,2.215659185,4.185600317,4.273547182,1.119583857,4.248831469,4.708792844,4.709482018,1.990676945,0.589643965,1.040125921,0.726637076,0.554745209,0.498073502,1.378323523,1.058483101,5.444063038,6.641238105,7.811043023,1.320310775,7.323240518,2.873483342,3.640873916,9.341849958,6.499698986,11.9542591,3.78485799,6.419404919,7.608554439,9.484114209,5.220588107,7.368657101,4.708027556
MUSAMuseodelasArtesUniversidaddeGuadalajara,1.390226431,0,0.780230722,1.05020025,1.516507246,3.619615393,1.362794944,1.44741858,2.942764583,1.395634025,5.95388825,3.566130613,5.546966279,5.635277119,0.351604682,2.970260445,6.069746677,6.07262417,1.645663324,1.979051205,0.35013284,2.116746501,1.022065715,1.263720558,0.038737559,1.761081515,6.825468563,8.015291074,6.425577791,2.569283318,5.959000136,4.214953046,2.353644015,7.9868915,5.111091801,10.58950626,2.395846271,5.081931985,8.979391554,8.096469233,3.830362377,6.00670888,3.319156738
MuseodelaCiudaddeGuadalajara,0.613650814,0.780230722,0,0.284911202,0.846740257,4.333960435,0.583357794,0.667959976,2.177160444,0.622497188,5.179434216,2.793522082,4.772492182,4.860720315,0.512467635,3.657726071,5.295580113,5.297759999,1.760725743,1.200152319,0.431926448,1.338494732,0.350893047,0.642680425,0.77112871,1.274438015,6.057166255,7.252804673,7.205553596,1.867242788,6.712467931,3.472441387,3.045868223,8.733464555,5.886560612,11.3626621,3.172066021,5.841550272,8.21936264,8.870674762,4.609207318,6.758379746,4.095078838
MuseoPalacioOcampo,0.342859832,1.05020025,0.284911202,0,0.589079052,4.618870202,0.323966019,0.406591629,1.896098005,0.345681105,4.932731138,2.552960105,4.526038347,4.614062686,0.797352428,3.942158901,5.049273787,5.050297988,1.781785606,0.932245485,0.700227,1.068562437,0.398745655,0.433607506,1.037113772,1.081138696,5.777824711,6.971426976,7.468424114,1.586417746,6.994993638,3.187712595,3.330598571,9.017056762,6.16115045,11.61222909,3.445951369,6.07976044,7.937371321,9.146263221,4.880051007,7.041195934,4.369252339
MuseodePaleontologiadeGuadalajara,0.483199222,1.516507246,0.846740257,0.589079052,0,5.13361732,0.53360047,0.530086772,1.500024052,0.447150188,4.680187352,2.362257772,4.277902757,4.364327874,1.336297483,4.473165096,4.797405774,4.793889657,1.655721686,0.748506999,1.18799329,0.840922914,0.95889189,0.259657446,1.49343786,0.578349826,5.356598082,6.530191742,7.837792146,1.052864604,7.468503904,2.711321725,3.857709146,9.499505986,6.585663018,11.92502862,3.878546711,6.367323793,7.488780424,9.57105163,5.290932996,7.517340394,4.797801547
MuseodeArtedeZapopan,4.933417214,3.619615393,4.333960435,4.618870202,5.13361732,0,4.893203007,4.974157476,6.494786486,4.948273952,9.212196844,6.886715317,8.815924492,8.902902159,3.821547407,0.721861094,9.321694632,9.33327342,4.683301625,5.491692005,3.946987551,5.630631057,4.427771273,4.883028762,3.645179167,5.342667647,10.34551694,11.55574511,3.630615447,6.184628544,2.477948782,7.805474863,1.296483871,4.437757278,2.074007406,7.858196159,1.575451792,3.294164307,12.5265048,4.8075723,1.457994932,2.510630611,1.205683218
CasaMuseoLopezPortillo,0.055106601,1.362794944,0.583357794,0.323966019,0.53360047,4.893203007,0,0.08462959,1.60356331,0.089440247,4.609103666,2.229022464,4.202367502,4.290417145,1.084104627,4.206797336,4.725608342,4.726764616,2.01371774,0.616815653,1.013170843,0.755357538,0.503310754,0.531024557,1.352194302,1.106594241,5.478220724,6.677130196,7.78657396,1.371564882,7.28732393,2.915517254,3.599818656,9.304506508,6.469611458,11.93506056,3.755333423,6.403693585,7.645007639,9.45335345,5.192509731,7.332418284,4.678268546
MuseodelasArtesPopularesdeJalisco,0.074821072,1.44741858,0.667959976,0.406591629,0.530086772,4.974157476,0.08462959,0,1.521514299,0.099294869,4.526148176,2.14732211,4.119466093,4.207483782,1.167675598,4.286463855,4.642699177,4.643706403,2.063442666,0.532261052,1.097769196,0.670922109,0.57212565,0.567273349,1.436761221,1.10824333,5.394643898,6.594152183,7.871058371,1.307195341,7.370428513,2.836405249,3.680257668,9.386992372,6.554099709,12.01858797,3.839885029,6.486107484,7.562252568,9.537753611,5.277130864,7.415396666,4.762795515
MuseodelEjercitoyFuerzaAerea,1.566237381,2.942764583,2.177160444,1.896098005,1.500024052,6.494786486,1.60356331,1.521514299,0,1.554901109,3.22977256,1.12517052,2.836502057,2.920188066,2.685767758,5.803776794,3.346419905,3.339020067,2.993746703,1.006908001,2.594256975,0.87027635,2.072089739,1.753684223,2.926904076,1.698344436,3.882710848,5.075646032,9.330585132,0.694761125,8.889256909,1.336041513,5.199954898,10.90792685,8.051723055,13.42480429,5.336980856,7.865870921,6.042440011,11.03781467,6.764629689,8.934819025,6.260000222
MuseoDeSitioDelPalacioDeGobierno,0.036077249,1.395634025,0.622497188,0.345681105,0.447150188,4.948273952,0.089440247,0.099294869,1.554901109,0,4.595664714,2.221968967,4.189276151,4.277144823,1.131376068,4.265327482,4.712393555,4.712762103,1.964465532,0.588051946,1.045546036,0.723367837,0.581673215,0.468163462,1.382785119,1.022679944,5.434764022,6.630476556,7.81338194,1.295026037,7.334398103,2.857626033,3.656546578,9.354148735,6.506270269,11.95277447,3.791160191,6.415636199,7.597302656,9.491133576,5.225691003,7.380077802,4.714432737
