Nombre,Costo,Tiempo_Est,Satisfaccion
FiestaAmericanaGuadalajara,3461,0,4.6
HyattRegencyAndaresGuadalajara,5171,0,4.8
HotelRiuPlazaGuadalajara,4575,0,4.7
PlazaGaleriasGuadalajara,0,230,4.5
CentroComercialPlazaLomas,0,40,4.4
CentroSur,0,50,4.2
CentroMagno,0,190,4.3
PuntoSur,0,130,4.7
LaGranPlazaFashionMall,0,200,4.6
PlazaRealCenter,0,60,4.5
CentroComercialPlazaPatria,0,150,4.5
ForumTlaquepaque,0,160,4.6
AndaresCentroComercial,0,180,4.7
ParqueGonzalezGallo,0,100,4.5
ParquelaCalma,0,120,4.6
ParqueJardinesdelNilo,0,20,4.5
ParqueSanJacinto,0,10,4.4
ParquedeLaLiberacion,0,60,4.4
ParqueExpiatorio,0,30,4.7
ParqueAguaAzul,0,15,4.4
ParqueAlcalde,0,95,4.5
ParqueMorelos,0,48,4.1
ParqueRevolucion,0,35,4.3
ZoologicodeEsculturasJuegos,200,180,4
NaturaPet,0,35,4.7
Herpetariolatierradelosreptilesyanfibios,0,30,4.6
VillaAustraliana,0,12,4.3
ParqueVillaFantasia,10,30,3.9
Zoologico,125,245,4.4
Antartidaelreinodelospinguinos,70,15,4.7
AcuariodelZoologicoGuadalajara,100,90,4.8
ElTejaban,20,30,4.3
ZoologicoGuadalajara,335,300,4.7
MuseoDeSitioDelPalacioDeGobierno,40,35,4.7
MuseodelEjercitoyFuerzaAerea,0,55,4.8
MuseodelasArtesPopularesdeJalisco,0,75,4.4
CasaMuseoLopezPortillo,0,45,4.6
MuseodeArtedeZapopan,0,120,4.5
MuseodePaleontologiadeGuadalajara,20,110,4.6
MuseoPalacioOcampo,100,50,4.5
MuseodelaCiudaddeGuadalajara,0,85,4.6
MUSAMuseodelasArtesUniversidaddeGuadalajara,0,65,4.8
MuseoRegionaldeGuadalajara,95,45,4.5
