,Museo Regional de Guadalajara,MUSA Museo de las Artes Universidad de Guadalajara,Museo de la Ciudad de Guadalajara,Museo Palacio Ocampo,Museo de Paleontología de Guadalajara,Museo de Arte de Zapopan,Casa Museo López Portillo,Museo de las Artes Populares de Jalisco,Museo del Ejército y Fuerza Aérea,Museo De Sitio Del Palacio De Gobierno,Zoológico Guadalajara,El Tejaban,Acuario del Zoológico Guadalajara,"Antártida, el reino de los pingüinos",Zoológico,Parque Villa Fantasía,Villa Australiana,"Herpetario, la tierra de los reptiles y anfibios.",Natura Pet,Zoológico de Esculturas - Juegos,Parque Revolución,Parque Morelos,Parque Alcalde,Parque Agua Azul,Parque Expiatorio,Parque de La Liberación,Parque San Jacinto,Parque Jardines del Nilo,Parque la Calma,Parque González Gallo,Andares Centro Comercial,Fórum Tlaquepaque,Centro Comercial Plaza Patria,Plaza Real Center,La Gran Plaza Fashion Mall,Punto Sur,Centro Magno,Centro Sur,Centro Comercial Plaza Lomas,Plaza Galerías Guadalajara,Hotel Riu Plaza Guadalajara,Hyatt Regency Andares Guadalajara,Fiesta Americana Guadalajara
Museo Regional de Guadalajara,0.0,11.390226430524500,25.45502713019780,16.428661071514500,21.10664073646180,14.933417214297000,6.8368866994316600,7.4940357411431800,11.566237381356700,6.20257495089429,14.592150094975800,12.215659184526400,14.1856003173265,14.273547181624300,11.119583856944300,14.248831468678200,14.708792844003700,14.709482018247800,11.990676944965500,24.654798823725700,11.040125920868100,29.221235851274600,23.491506960891900,21.602450081176100,11.378323523437700,11.058483101121300,15.444063038027600,16.641238104572600,17.81104302313620,11.320310775250700,17.323240518493800,12.873483341953600,13.640873916061100,19.341849958338400,16.499698986068200,21.95425909830860,13.784857990031100,16.41940491900750,17.608554439246700,19.484114209435100,15.220588106636800,17.36865710072790,14.708027556327000
MUSA Museo de las Artes Universidad de Guadalajara,11.390226430524500,0.0,31.00769072785080,11.050200249842400,11.51650724637730,13.619615393078400,11.362794943716600,11.447418579548600,12.942764582816600,11.3956340253449,15.953888249794500,13.566130613212800,15.546966278807200,15.635277118800500,16.720156053874300,12.970260445217700,16.069746676886600,16.072624169510500,11.645663323812700,11.979051205011300,16.671094676852900,12.116746501421600,11.022065714743700,11.263720557692400,6.29125195964867,11.761081514575400,16.82546856337210,18.015291074254900,16.4255777914597,12.56928331781540,15.959000135658800,14.214953045825100,12.353644014866600,17.98689150033490,15.111091801160800,20.58950625698380,12.395846271352500,15.081931985407000,18.979391554087200,18.09646923327220,13.830362376993200,16.006708879960600,13.319156737957000
Museo de la Ciudad de Guadalajara,25.45502713019780,31.00769072785080,0.0,14.49704005465260,33.224675232583600,14.333960434858600,24.445259812920200,27.26533254600890,12.177160444131500,25.749906281472500,15.179434216397600,12.79352208176450,14.772492182112400,14.860720314599800,22.08225450074320,13.657726070883700,15.295580113112900,15.297759999109300,11.76072574263850,11.20015231876820,19.397548263941500,11.338494731685500,16.69643489964940,26.42268084782240,30.704290341244100,11.274438015195900,16.057166254900200,17.252804672810500,17.20555359570310,11.867242787992500,16.712467931106600,13.47244138733940,13.0458682230433,18.733464555363200,15.886560611550100,21.36266209938800,13.172066020531800,15.841550272219900,18.219362640298800,18.870674762310400,14.609207317724500,16.75837974610670,14.095078838306800
Museo Palacio Ocampo,16.428661071514500,11.050200249842400,14.49704005465260,0.0,24.63596838563720,14.61887020249300,15.798867307046200,18.553054307441100,11.896098005138600,16.522703484076400,14.932731137588900,12.552960104997600,14.526038346512300,14.61406268638690,31.578414267671600,13.942158900933000,15.0492737865196,15.050297988285300,11.781785606267400,36.07484949340810,28.340900001618100,11.068562437067900,18.29152182328010,19.453583524944,11.037113771590100,11.081138695617400,15.777824711283400,16.97142697567550,17.46842411410930,11.58641774628390,16.994993637660800,13.187712595305000,13.330598571123900,19.017056761801100,16.161150449668400,21.612229088706700,13.44595136945990,16.079760440490500,17.93737132111620,19.1462632211193,14.880051007336200,17.041195934199600,14.36925233859480
Museo de Paleontología de Guadalajara,21.10664073646180,11.51650724637730,33.224675232583600,24.63596838563720,0.0,15.13361732031710,22.786682321301400,22.669559061253500,11.500024052007900,19.90500627354230,14.680187352350000,12.362257772478900,14.277902756751500,14.364327874084100,11.336297482825100,14.473165095895100,14.79740577404440,14.793889657046200,11.65572168587480,29.950233309727000,11.187993289794800,33.03076378765860,36.96306299907440,13.655248204099800,11.493437859961400,24.27832752273480,15.356598081624000,16.530191741891100,17.837792146457000,11.05286460437450,17.468503904358400,12.71132172526630,13.857709146259300,19.4995059861404,16.5856630181762,21.92502862337000,13.87854671149320,16.367323793067000,17.488780424256000,19.571051629927900,15.290932995828800,17.51734039399330,14.797801547114600
Museo de Arte de Zapopan,14.933417214297000,13.619615393078400,14.333960434858600,14.61887020249300,15.13361732031710,0.0,14.893203006623500,14.974157476496000,16.494786486393800,14.948273952009300,19.21219684400240,16.88671531722500,18.815924492247600,18.902902159095100,13.821547407193100,29.06203647609600,19.321694631673200,19.33327342012920,14.683301624899800,15.491692004973200,13.9469875510113,15.630631056603100,14.427771273426200,14.883028762167200,13.645179167332100,15.342667647041100,20.345516939322300,21.555745105245000,13.630615446880500,16.184628543681200,12.477948782011900,17.805474862556400,11.29648387130490,14.437757277922000,12.074007405650000,17.85819615859740,11.575451792090300,13.294164306837700,22.52650480477830,14.807572300338500,11.457994931794500,12.51063061097290,11.20568321801990
Casa Museo López Portillo,6.8368866994316600,11.362794943716600,24.445259812920200,15.798867307046200,22.786682321301400,14.893203006623500,0.0,7.820986341044190,11.60356331011770,7.981341557878710,14.609103665668500,12.229022463651600,14.202367502448900,14.290417145222000,11.084104626945400,14.206797336090100,14.725608342049600,14.726764615614000,12.01371773985010,25.560521759394400,11.013170842530000,30.178584586344400,21.77702512645430,22.700818551188300,11.352194302297700,11.10659424100800,15.478220723861700,16.677130195594800,17.786573960054600,11.37156488198760,17.28732392991850,12.915517254138200,13.599818655968600,19.304506507963600,16.469611458160800,21.93506055547640,13.75533342332050,16.403693585424600,17.645007638940600,19.453353449958500,15.192509730959000,17.332418284358900,14.678268545627700
Museo de las Artes Populares de Jalisco,7.4940357411431800,11.447418579548600,27.26533254600890,18.553054307441100,22.669559061253500,14.974157476496000,7.820986341044190,0.0,11.52151429943730,8.309828978387380,14.526148176157000,12.147322110291500,14.119466092547100,14.207483782208200,11.167675598341000,14.286463854555300,14.642699176788500,14.643706403188600,12.063442666020600,22.74203505479430,11.097769196271200,27.364070311644000,24.070854994428700,23.909111647410500,11.436761220581100,11.108243330368300,15.394643898026300,16.594152182713200,17.871058371358200,11.307195340946200,17.370428512830000,12.836405248832700,13.680257667556600,19.386992372348200,16.554099709090300,22.018587973789700,13.83988502936930,16.486107484496800,17.562252568115300,19.537753610604400,15.277130864028400,17.415396665826900,14.762795514668100
Museo del Ejército y Fuerza Aérea,11.566237381356700,12.942764582816600,12.177160444131500,11.896098005138600,11.500024052007900,16.494786486393800,11.60356331011770,11.52151429943730,0.0,11.554901108615900,13.229772559743000,11.125170519916300,12.836502057066200,12.9201880659917,12.685767757693400,15.80377679408840,13.346419904844000,13.339020066517000,12.993746702653400,11.006908001285700,12.594256975189100,34.00921167614790,12.072089738548000,11.753684222881500,12.926904076345500,11.69834443611530,13.882710847965700,15.075646032058800,19.33058513215330,28.15870417973730,18.889256908939700,11.336041512791400,15.1999548978172,20.907926845755500,18.051723055232300,23.42480429316660,15.336980856265700,17.865870920833800,16.042440010648200,21.037814665463100,16.764629689053700,18.934819025486800,16.260000221852700
Museo De Sitio Del Palacio De Gobierno,6.20257495089429,11.3956340253449,25.749906281472500,16.522703484076400,19.90500627354230,14.948273952009300,7.981341557878710,8.309828978387380,11.554901108615900,0.0,14.595664714396,12.22196896731130,14.189276150749400,14.277144822600700,11.131376067513700,14.265327481863600,14.712393555453200,14.712762102716200,11.964465532072300,24.601731518867500,11.045546036466700,29.112261222646100,24.3891071668071,20.605448728304300,11.382785118851900,11.02267994395790,15.434764021828400,16.630476556108800,17.81338193974950,11.295026037425900,17.334398102915800,12.857626033188700,13.6565465777976,19.35414873483960,16.506270268980900,21.952774468500200,13.791160190607000,16.415636198788400,17.59730265604160,19.491133575840500,15.225691003254100,17.380077802491900,14.714432737278400
